proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
UDP,1597740607,172.168.1.33,5060,192.168.1.127,5060,650.108593,77,11,6589,6930,46,630,323,630,85.571426,630.0,97.565421,0.0,650.108592,600.246372,0.627411,60.015919,10.015937,60.034237,8.55406,60.024635,3.254579,0.008026,0,0,0,0,3971,6556,0.118442,0.01692,20.794987,153.625,202.748886,7.560203,4.017652,0,0,0,0,0,0,0,1.051753,0,0
UDP,1597740608,10.10.10.34,5060,192.168.1.127,5060,650.093703,107,39,26943,24782,46,466,1398,963,251.803741,635.435913,335.784707,144.006907,650.093704,599.041023,0.000432,4.6e-05,10.031176,60.033684,6.132959,15.764237,3.933914,21.225599,0,0,0,0,23305,23456,0.164592,0.059991,79.565453,354.280822,341.863403,5.152358,4.040393,0,0,0,0,0,0,0,0.919794,0,0
UDP,1597740609,10.10.10.22,5060,192.168.1.127,5060,650.143833,126,54,44497,32279,46,464,1398,968,353.150787,597.759277,423.516757,134.670938,650.143837,621.701141,2.4e-05,0.035832,10.029355,60.028313,5.201151,11.73021,3.938435,16.175406,0,0,0,0,40213,30443,0.193803,0.083059,118.09079,426.533333,378.498383,4.023469,3.894314,0,0,0,0,0,0,0,0.72542,0,0
UDP,1597740610,10.10.10.39,5060,192.168.1.127,5060,640.062389,101,32,23943,19712,46,465,1399,962,237.059402,616.0,335.154078,148.254794,640.06239,600.283919,0.000484,0.01441,10.015551,60.035,6.400624,19.363997,4.067693,22.302143,0,0,0,0,20509,18624,0.157797,0.049995,68.204292,328.233083,341.605835,5.060524,4.290047,0,0,0,0,0,0,0,0.823289,0,0
UDP,1597740611,192.168.1.127,5060,10.10.10.38,5060,642.344584,49,118,31856,30282,419,46,962,1396,650.122437,256.627106,178.678441,295.940539,633.145739,642.320288,0.01104,6.1e-05,60.031796,10.008867,13.190536,5.489917,17.885094,4.327397,0,0,0,0,30190,26270,0.076283,0.183702,96.736237,372.083832,321.333252,7.300519,10.972709,0,0,0,0,0,0,0,0.95059,0,0
UDP,1597740590,10.10.10.39,5060,192.168.1.127,5060,651.691685,102,32,23989,19712,46,465,1399,962,235.186279,616.0,334.026908,148.254794,651.69168,600.28463,0.000517,0.014346,10.01561,60.03508,6.452393,19.364019,4.074096,22.302164,0,0,0,0,20521,18624,0.156516,0.049103,67.057785,326.126866,341.191406,5.110003,4.306802,0,0,0,0,0,0,0,0.82171,0,0
UDP,1597740656,10.10.10.39,7078,192.168.1.127,8328,324.283422,16167,15609,3459434,3339750,62,66,214,214,213.981201,213.963104,1.690559,2.305848,324.283422,324.265775,1e-05,0.0,0.632272,4.160029,0.02006,0.020776,0.012026,0.039074,0,0,0,0,2909756,2809044,49.854538,48.13382,20966.79492,213.972306,2.016389,0.014839,0.010997,0,0,0,0,0,0,0,0.965404,0,0
UDP,1597740656,10.10.10.39,7079,192.168.1.127,8329,321.153043,75,88,15234,10768,62,66,230,142,203.119995,122.36364,62.004569,32.318168,321.153043,320.733023,0.089914,0.0,6.120196,5.001265,4.339906,3.686586,2.047533,2.144615,0,0,0,0,12684,7776,0.233534,0.274013,80.964516,159.521472,62.825974,3.074264,2.203204,0,0,0,0,0,0,0,0.70684,0,0
UDP,1597741022,10.10.10.39,7078,192.168.1.127,27746,91.378078,3697,2796,790854,597768,62,66,214,214,213.91777,213.793991,3.534884,5.445759,91.378078,59.367726,9e-06,9e-06,0.879855,2.080033,0.024724,0.021241,0.041804,0.041974,0,0,0,0,665156,502704,40.458282,30.598148,15196.44531,213.864469,4.459317,0.018256,0.032776,0,0,0,0,0,0,0,0.755851,0,0
UDP,1597741022,10.10.10.39,7079,192.168.1.127,27747,87.627659,32,35,5344,3242,62,66,230,142,167.0,92.628571,82.634055,34.078703,87.627659,55.687873,0.159994,0.0,6.072841,5.000993,2.826699,1.637879,2.384294,2.213326,0,0,0,0,4256,2052,0.365181,0.399417,97.982758,128.149254,72.155815,1.600399,2.106444,0,0,0,0,0,0,0,0.606662,0,0
