proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
TCP,1746922064,159.89.237.190,24969,216.238.92.208,5060,21.538272,6,3,542,166,54,54,268,58,90.333336,55.333332,87.053238,2.309401,21.538272,6.537755,0.000001,0.000018,15.000531,6.537737,4.307654,3.268878,6.134494,4.622865,0,0,0,0,124,64,0.278574,0.139287,32.871719,78.666667,71.021118,2.692301,5.145311,0,2,1,7,0,0,0,0.306273,1,1
TCP,1746922085,159.89.237.190,24970,216.238.92.208,5060,11.146822,3,3,284,166,54,54,176,58,94.666664,55.333332,70.436732,2.309401,11.146821,11.000765,0.121183,0.121182,11.025639,10.879583,5.573411,5.500382,7.710615,7.607338,0,0,0,0,60,64,0.269135,0.269135,40.370251,75,49.505554,4.405309,5.977269,1,2,1,4,0,0,0,0.584507,1,1
UDP,1746920826,207.154.234.51,59010,216.238.92.208,5060,0.959266,12,6,8545,3200,374,531,1095,535,712.083313,533.333313,358.873352,1.505545,0.959266,0.77901,0.000097,0.140628,0.183167,0.183281,0.087206,0.155802,0.08446,0.018784,0,0,0,0,8137,2996,12.509565,6.254783,12243.73731,652.5,301.419037,0.056582,0.07928,0,0,0,0,0,0,0,0.374488,1,1
UDP,1746920827,189.182.44.235,54988,216.238.92.208,5060,5613.472329,557,134,127195,69027,44,479,869,615,228.357269,515.126892,331.269914,51.39577,5613.471766,5601.603351,0.014992,0.036216,14.041355,60.001171,10.096172,42.117317,4.411426,24.140743,0,0,0,0,108257,64471,0.099226,0.023871,34.955547,283.968162,319.077911,9.034667,4.906245,0,0,0,0,0,0,0,0.542686,0,0
UDP,1746920833,200.23.110.56,61290,216.238.92.208,5060,2998.742412,268,120,61504,59902,44,479,870,615,229.492538,499.183319,331.925501,42.222298,2686.588515,2983.755884,0.014533,0.031248,14.05423,60.024544,10.06213,25.07358,4.38559,26.100552,0,0,0,0,52392,55822,0.089371,0.040017,40.485638,312.902062,303.542175,8.45863,5.617998,0,0,0,0,0,0,0,0.973953,1,1
UDP,1746920836,51.159.93.41,59476,216.238.92.208,5060,0.772983,6,6,3618,3130,389,521,647,523,603,521.666687,104.840832,1.032796,0.772486,0.772585,0.148701,0.148738,0.158354,0.158314,0.154497,0.154517,0.003574,0.003555,0,0,0,0,3414,2926,7.762136,7.762136,8729.816406,562.333333,82.466888,0.070475,0.080477,0,0,0,0,0,0,0,0.865119,1,1
UDP,1746920856,51.159.93.41,59810,216.238.92.208,5060,0.786497,6,6,3619,3130,389,519,647,523,603.166687,521.666687,104.925531,1.632993,0.78609,0.786024,0.145816,0.145592,0.165201,0.165282,0.157218,0.157205,0.007431,0.007533,0,0,0,0,3415,2926,7.628763,7.628763,8581.086914,562.416667,82.565079,0.071694,0.082018,0,0,0,0,0,0,0,0.86488,1,1
UDP,1746920861,217.160.139.134,52719,216.238.92.208,5060,41.151742,3,14,2208,7901,389,366,1047,835,736,564.357117,330.473902,93.395444,0.163543,41.151363,0.000177,0.001313,0.163366,9.458384,0.081771,3.165489,0.115392,2.528224,0,0,0,0,2106,7425,0.072901,0.340204,245.65181,594.647059,159.021988,2.572007,2.596454,0,0,0,0,0,0,0,3.578351,1,1
UDP,1746920877,51.159.93.41,60982,216.238.92.208,5060,0.791851,6,6,3648,3148,393,522,652,526,608,524.666687,105.329958,1.632993,0.79114,0.791408,0.149319,0.149307,0.168012,0.168301,0.158228,0.158282,0.00704,0.007159,0,0,0,0,3444,2944,7.577183,7.577183,8582.421875,566.333333,83.295021,0.072178,0.082507,0,0,0,0,0,0,0,0.862939,1,1
UDP,1746920897,51.159.93.41,61548,216.238.92.208,5060,0.741136,6,6,3639,3148,392,523,651,525,606.5,524.666687,105.091865,0.816497,0.740654,0.740627,0.136206,0.13629,0.15564,0.155656,0.148131,0.148125,0.008616,0.008585,0,0,0,0,3435,2944,8.095679,8.095679,9157.5625,565.583333,82.745453,0.067576,0.077317,0,0,0,0,0,0,0,0.865073,1,1
UDP,1746920912,207.154.234.51,64791,216.238.92.208,5060,0.905706,12,6,8544,3200,376,533,1094,535,712,533.333313,358.845624,0.816497,0.905706,0.754885,0.000116,0.136975,0.158914,0.158314,0.082337,0.150977,0.078869,0.008695,0,0,0,0,8136,2996,13.249333,6.624667,12966.68164,652.444444,301.385284,0.053507,0.074208,0,0,0,0,0,0,0,0.374532,1,1
UDP,1746920917,51.159.93.41,62602,216.238.92.208,5060,0.715861,6,6,3617,3136,389,521,647,523,602.833313,522.666687,104.761477,0.816497,0.71537,0.715402,0.12794,0.127957,0.156792,0.156753,0.143074,0.14308,0.01286,0.012857,0,0,0,0,3413,2932,8.381517,8.381517,9433.397461,562.75,82.107605,0.065298,0.074907,0,0,0,0,0,0,0,0.867017,1,1
UDP,1746920938,51.159.93.41,63839,216.238.92.208,5060,0.78365,6,6,3612,3126,388,520,646,522,602,521,104.840832,1.095445,0.783246,0.783168,0.154746,0.154652,0.161208,0.16121,0.156649,0.156634,0.00259,0.00261,0,0,0,0,3408,2922,7.65648,7.65648,8598.227539,561.5,82.377731,0.071437,0.081601,0,0,0,0,0,0,0,0.865449,1,1
UDP,1746920957,51.159.93.41,64077,216.238.92.208,5060,0.779782,6,6,3615,3128,387,520,646,522,602.5,521.333313,105.574145,1.032796,0.779374,0.779086,0.155105,0.154798,0.156249,0.15623,0.155875,0.155817,0.000451,0.00058,0,0,0,0,3411,2924,7.694458,7.694458,8647.288086,561.916667,82.846474,0.071102,0.081164,0,0,0,0,0,0,0,0.865284,1,1
UDP,1746920978,51.159.93.41,65292,216.238.92.208,5060,0.30593,3,3,1671,1558,385,518,643,520,557,519.333313,148.956369,1.154701,0.305401,0.30551,0.148885,0.148917,0.156516,0.156593,0.152701,0.152755,0.005396,0.005428,0,0,0,0,1569,1456,9.80616,9.80616,10554.69727,538.166667,96.443596,0.06136,0.083425,0,0,0,0,0,0,0,0.932376,1,1
UDP,1746920992,20.83.27.89,49856,216.238.92.208,5060,0.000427,1,1,411,520,411,520,411,520,411,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,486,2341.878174,2341.878174,2180288.75,465.5,77.074638,0.000427,0,0,0,0,0,0,0,0,1.265207,1,1
UDP,1746920999,51.159.93.41,50268,216.238.92.208,5060,0.777148,6,6,3621,3136,389,520,648,524,603.5,522.666687,105.088058,1.632993,0.776566,0.776667,0.153118,0.153224,0.156243,0.156225,0.155313,0.155333,0.001319,0.001285,0,0,0,0,3417,2932,7.720537,7.720537,8694.611328,563.083333,82.480255,0.07089,0.080833,0,0,0,0,0,0,0,0.866059,1,1
UDP,1746921007,207.154.234.51,56491,216.238.92.208,5060,0.909329,12,6,8532,3194,373,530,1094,534,711,532.333313,358.847144,1.505545,0.909329,0.760833,0.000276,0.143551,0.17132,0.171609,0.082666,0.152167,0.079079,0.011173,0,0,0,0,8124,2990,13.196545,6.598272,12895.22363,651.444444,301.387238,0.053664,0.074477,0,0,0,0,0,0,0,0.374355,1,1
UDP,1746921015,103.157.224.5,51701,216.238.92.208,5060,0.000502,1,1,482,641,482,641,482,641,482,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,607,1992.543457,1992.543457,2237626.25,561.5,112.429977,0.000502,0,0,0,0,0,0,0,0,1.329875,1,1
UDP,1746921015,103.157.224.5,5463,216.238.92.208,5060,149.814431,11235,11235,6826903,6260048,383,516,798,739,607.645996,557.19165,43.290025,10.748482,149.814179,149.813913,0,0.000072,1.48179,1.482124,0.013336,0.013336,0.032923,0.032946,0,0,0,0,6444913,5878058,74.992775,74.992775,87354.40625,582.418825,40.387787,0.006807,0.024177,0,0,0,0,0,0,0,0.916967,1,1
UDP,1746921019,51.159.93.41,51477,216.238.92.208,5060,0.763695,6,6,3616,3126,388,519,647,523,602.666687,521,105.167801,1.264911,0.7634,0.763447,0.139728,0.139763,0.15714,0.157148,0.15268,0.152689,0.00729,0.00728,0,0,0,0,3412,2922,7.85654,7.85654,8828.131836,561.833333,82.746964,0.069548,0.079726,0,0,0,0,0,0,0,0.864491,1,1
UDP,1746921021,185.186.25.59,53630,216.238.92.208,5060,0.902521,11,6,7949,3222,384,536,1051,538,722.636353,537,333.054132,1.095445,0.902312,0.902292,0,0.171662,0.192687,0.192797,0.090231,0.180458,0.095322,0.010978,0,0,0,0,7575,3018,12.188084,6.648046,12377.55273,657.117647,278.729919,0.056512,0.086447,0,0,0,0,0,0,0,0.405334,1,1
UDP,1746921040,51.159.93.41,53135,216.238.92.208,5060,0.808676,6,6,3592,3116,384,518,642,520,598.666687,519.333313,105.165899,1.032796,0.808332,0.80843,0.151493,0.151096,0.191967,0.192126,0.161666,0.161686,0.017078,0.017182,0,0,0,0,3388,2912,7.419535,7.419535,8295.040039,559,82.122971,0.073698,0.084914,0,0,0,0,0,0,0,0.867483,1,1
UDP,1746921061,51.159.93.41,55124,216.238.92.208,5060,0.868648,6,6,3620,3138,389,523,647,523,603.333313,523,105.002223,0,0.867752,0.867962,0.154893,0.154546,0.200028,0.200484,0.17355,0.173592,0.024167,0.024316,0,0,0,0,3416,2934,6.907285,6.907285,7779.905762,563.166667,82.289772,0.07919,0.091627,0,0,0,0,0,0,0,0.866851,1,1
UDP,1746921069,217.160.139.134,53174,216.238.92.208,5060,41.126074,3,14,2206,7888,389,365,1045,834,735.333313,563.428589,329.533513,93.375764,0.164408,41.12584,0.000171,0.00135,0.164237,9.458986,0.082204,3.163526,0.116012,2.527346,0,0,0,0,2104,7412,0.072946,0.340417,245.440399,593.764706,158.812195,2.570394,2.5954,0,0,0,0,0,0,0,3.575703,1,1
UDP,1746921080,51.159.93.41,55261,216.238.92.208,5060,0.774689,6,6,3624,3138,389,522,648,524,604,523,105.333755,1.095445,0.77421,0.774528,0.148185,0.148226,0.164274,0.164288,0.154842,0.154906,0.006874,0.006787,0,0,0,0,3420,2934,7.745044,7.745044,8728.664062,563.5,82.663063,0.070565,0.080807,0,0,0,0,0,0,0,0.865894,1,1
UDP,1746921100,51.159.93.41,55669,216.238.92.208,5060,0.464873,4,4,2330,2090,388,520,648,524,582.5,522.5,129.667524,1.914854,0.464598,0.464591,0.151908,0.151796,0.156682,0.156673,0.154866,0.154864,0.002584,0.002671,0,0,0,0,2194,1954,8.604499,8.604499,9507.97168,552.5,90.752411,0.066516,0.082658,0,0,0,0,0,0,0,0.896996,1,1
