proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
TCP,1746385601,123.58.207.151,36723,216.238.92.208,5060,0.127706,2,1,112,58,54,58,58,58,56,58,2.828427,0,0.127706,0,0.127706,0,0.127706,0,0.127706,0,0,0,0,0,0,0,44,24,15.660965,7.830482,1331.182007,56.666667,2.309401,0.063874,0.090272,0,2,1,1,0,0,0,0.517857,1,1
TCP,1746386696,123.58.207.151,55362,216.238.92.208,5060,18.251415,6,4,688,272,66,66,350,74,114.666664,68,115.33372,4,18.251415,18.129866,0.007655,0.129189,15.301665,15.301688,3.650283,6.043289,6.611206,8.120311,1,0,0,0,200,136,0.328742,0.219161,52.598663,96,89.308456,2.027954,5.055215,2,2,0,9,0,0,0,0.395349,1,1
TCP,1746386714,123.58.207.151,38586,216.238.92.208,5060,14.110807,4,4,272,276,66,66,74,74,68,69,4,3.829708,14.110781,14.110779,0.126505,0.126513,13.532769,13.532784,4.703594,4.703593,7.648017,7.64803,0,1,0,0,136,136,0.283471,0.283471,38.835484,68.5,3.664501,3.977446,6.486514,2,2,0,7,0,0,0,1.014706,1,1
TCP,1746386728,123.58.207.151,53194,216.238.92.208,5060,18.152322,5,5,593,338,66,66,321,74,118.599998,67.599998,113.198053,3.577709,18.152299,18.152292,0.000038,0.130426,15.313171,15.313175,4.538075,4.538073,7.290877,7.275492,1,0,0,0,168,168,0.275447,0.275447,51.288204,93.1,80.144936,2.303404,5.009285,2,2,0,9,0,0,0,0.569983,1,1
TCP,1746386746,123.58.207.151,40474,216.238.92.208,5060,18.390966,7,5,693,722,66,66,289,450,99,144.399994,83.835156,170.870714,18.390966,18.260816,0.000033,0.000211,15.000466,15.130624,3.065161,4.565204,5.961416,7.178378,1,1,0,0,232,168,0.380622,0.271873,76.939949,117.916667,122.462952,1.671939,4.509041,2,2,0,11,0,0,0,1.041847,1,1
TCP,1746392300,106.75.141.132,58914,216.238.92.208,5060,0.216438,2,1,112,58,54,58,58,58,56,58,2.828427,0,0.216438,0,0.216438,0,0.216438,0,0.216438,0,0,0,0,0,0,0,44,24,9.24052,4.62026,785.444153,56.666667,2.309401,0.108254,0.152996,0,2,1,1,0,0,0,0.517857,1,1
TCP,1746392301,106.75.10.190,48984,216.238.92.208,5060,0.677653,6,4,633,655,66,66,295,449,105.5,163.75,92.890796,190.204057,0.677653,0.452146,0.000001,0.000477,0.226067,0.226069,0.135531,0.150715,0.123721,0.13011,1,1,0,0,200,136,8.854088,5.902725,1900.677612,128.8,133.258148,0.075383,0.112876,2,2,0,9,0,0,0,1.034755,1,1
TCP,1746394748,185.44.77.91,52241,216.238.92.208,5060,0.211174,2,1,108,58,54,58,54,58,54,58,0,0,0.211174,0,0.211174,0,0.211174,0,0.211174,0,0,0,0,0,0,0,40,24,9.470862,4.735431,786.081604,55.333333,2.309401,0.105625,0.149269,0,2,1,1,0,0,0,0.537037,1,1
TCP,1746400485,167.94.145.21,47856,216.238.92.208,5060,0.174659,2,1,128,74,54,74,74,74,64,74,14.142136,0,0.174659,0,0.174659,0,0.174659,0,0.174659,0,0,0,0,0,0,0,60,40,11.450884,5.725442,1156.539185,67.333333,11.547005,0.087365,0.123452,0,2,1,1,0,0,0,0.578125,1,1
TCP,1746400492,167.94.145.102,37570,216.238.92.208,5060,0.490921,5,3,600,618,66,66,328,478,120,206,116.327125,235.592869,0.490921,0.271742,0.041476,0.000414,0.178113,0.271328,0.12273,0.135871,0.067149,0.191565,1,1,0,0,168,104,10.184942,6.110966,2481.052002,152.25,159.912247,0.070206,0.080907,0,2,1,7,0,0,0,1.03,1,1
TCP,1746400492,167.94.145.64,5189,216.238.92.208,5060,0.144948,2,1,128,74,54,74,74,74,64,74,14.142136,0,0.144948,0,0.144948,0,0.144948,0,0.144948,0,0,0,0,0,0,0,60,40,13.798051,6.899025,1393.603149,67.333333,11.547005,0.072495,0.102465,0,2,1,1,0,0,0,0.578125,1,1
UDP,1746381722,189.182.78.122,40195,216.238.92.208,5060,3631.599291,26,684,21422,326780,46,341,1506,1130,823.923096,477.748535,485.258684,29.69594,29.757428,3631.598681,0.000417,0.0001,16.788233,36.750988,1.190297,5.317128,3.538509,7.394318,0,0,0,0,21318,303524,0.007159,0.188347,95.881172,490.425352,115.699028,5.126546,7.285712,0,0,0,0,0,0,0,15.254412,0,0
UDP,1746381723,189.182.78.122,65125,216.238.92.208,5060,20224.22838,1999,476,451721,243956,44,479,854,1136,225.97348,512.512634,328.541684,54.507652,20224.22837,20209.68326,0.00003,0.028769,14.073778,60.001484,10.122236,42.546703,4.359845,23.873684,0,0,0,0,383755,227772,0.098842,0.023536,34.398197,281.081616,317.019379,9.05334,4.875375,0,0,0,0,0,0,0,0.540059,0,0
UDP,1746381729,5.39.20.184,60781,216.238.92.208,5060,0.778902,6,6,3607,3108,387,516,645,520,601.166687,518,104.921718,1.264911,0.778385,0.778491,0.153577,0.153797,0.157209,0.157165,0.155677,0.155698,0.00135,0.001271,0,0,0,0,3403,2904,7.703153,7.703153,8621.112305,559.583333,83.012001,0.071039,0.08104,0,0,0,0,0,0,0,0.861658,1,1
